duracao_h,intensidade_max_mm_h,id_estacao,id_evento_chuva,start_time,end_time,classificacao
1.0,7.4,22,22_1478373300,2016-11-05 19:15:00,2016-11-05 20:30:00,ESA
0.25,27.2,22,22_1479033900,2016-11-13 10:45:00,2016-11-13 12:15:00,ESA
0.5,23.6,22,22_1479033900,2016-11-13 10:45:00,2016-11-13 12:15:00,ESA
1.0,18.8,22,22_1479033900,2016-11-13 10:45:00,2016-11-13 12:15:00,ESA
0.25,8.0,22,22_1479108600,2016-11-14 07:30:00,2016-11-14 07:45:00,ESA
0.25,6.4,22,22_1479119400,2016-11-14 10:30:00,2016-11-14 13:00:00,ESA
0.5,5.2,22,22_1479119400,2016-11-14 10:30:00,2016-11-14 13:00:00,ESA
1.0,3.8,22,22_1479119400,2016-11-14 10:30:00,2016-11-14 13:00:00,ESA
2.0,3.3000000000000003,22,22_1479119400,2016-11-14 10:30:00,2016-11-14 13:00:00,ESA
0.25,8.8,22,22_1479175200,2016-11-15 02:00:00,2016-11-15 02:30:00,ESA
0.5,6.800000000000001,22,22_1479175200,2016-11-15 02:00:00,2016-11-15 02:30:00,ESA
0.25,11.2,22,22_1479349800,2016-11-17 02:30:00,2016-11-17 03:00:00,ESA
0.5,8.0,22,22_1479349800,2016-11-17 02:30:00,2016-11-17 03:00:00,ESA
0.25,4.8,22,22_1479503700,2016-11-18 21:15:00,2016-11-18 21:30:00,ESA
0.25,79.2,22,22_1480804200,2016-12-03 22:30:00,2016-12-03 23:00:00,ESA
0.5,46.800000000000004,22,22_1480804200,2016-12-03 22:30:00,2016-12-03 23:00:00,ESA
0.25,50.4,22,22_1480862700,2016-12-04 14:45:00,2016-12-04 16:00:00,ESA
0.5,26.0,22,22_1480862700,2016-12-04 14:45:00,2016-12-04 16:00:00,ESA
1.0,13.2,22,22_1480862700,2016-12-04 14:45:00,2016-12-04 16:00:00,ESA
0.25,6.4,22,22_1481236200,2016-12-08 22:30:00,2016-12-08 23:45:00,ESA
0.5,4.4,22,22_1481236200,2016-12-08 22:30:00,2016-12-08 23:45:00,ESA
1.0,3.0,22,22_1481236200,2016-12-08 22:30:00,2016-12-08 23:45:00,ESA
0.25,7.2,22,22_1481568300,2016-12-12 18:45:00,2016-12-12 19:45:00,ESA
0.5,6.0,22,22_1481568300,2016-12-12 18:45:00,2016-12-12 19:45:00,ESA
1.0,5.6,22,22_1481568300,2016-12-12 18:45:00,2016-12-12 19:45:00,ESA
0.25,4.0,22,22_1482003000,2016-12-17 19:30:00,2016-12-17 19:45:00,ESA
0.25,72.0,22,22_1482354000,2016-12-21 21:00:00,2016-12-21 21:45:00,ESA
0.5,48.0,22,22_1482354000,2016-12-21 21:00:00,2016-12-21 21:45:00,ESA
0.25,13.6,22,22_1482525900,2016-12-23 20:45:00,2016-12-23 21:00:00,ESA
0.25,4.0,22,22_1483207200,2016-12-31 18:00:00,2016-12-31 18:15:00,ESA
0.25,16.8,22,22_1483224300,2016-12-31 22:45:00,2016-12-31 23:15:00,ESA
0.5,10.4,22,22_1483224300,2016-12-31 22:45:00,2016-12-31 23:15:00,ESA
0.25,95.2,22,22_1483468200,2017-01-03 18:30:00,2017-01-03 20:15:00,ESA
0.5,73.6,22,22_1483468200,2017-01-03 18:30:00,2017-01-03 20:15:00,ESA
1.0,50.4,22,22_1483468200,2017-01-03 18:30:00,2017-01-03 20:15:00,ESA
0.25,34.4,22,22_1483647300,2017-01-05 20:15:00,2017-01-05 21:15:00,ESA
0.5,24.4,22,22_1483647300,2017-01-05 20:15:00,2017-01-05 21:15:00,ESA
1.0,14.799999999999999,22,22_1483647300,2017-01-05 20:15:00,2017-01-05 21:15:00,ESA
0.25,12.0,22,22_1483989300,2017-01-09 19:15:00,2017-01-09 19:30:00,ESA
0.25,21.6,22,22_1484503200,2017-01-15 18:00:00,2017-01-15 18:15:00,ESA
0.25,19.2,22,22_1485126900,2017-01-22 23:15:00,2017-01-22 23:30:00,ESA
0.25,44.8,22,22_1485448200,2017-01-26 16:30:00,2017-01-26 17:00:00,ESA
