id_evento,data_inicio,id_estacao
39338,2019-02-06 21:26:16+00:00,32
39323,2019-02-06 19:13:37+00:00,22
39330,2019-02-06 20:56:54+00:00,29
39328,2019-02-06 20:45:32+00:00,12
39337,2019-02-06 21:19:48+00:00,32
39334,2019-02-06 21:06:23+00:00,32
39335,2019-02-06 21:13:12+00:00,32
39327,2019-02-06 20:39:54+00:00,11
39364,2019-02-06 23:53:01+00:00,32
39333,2019-02-06 21:05:51+00:00,29
39329,2019-02-06 20:49:23+00:00,15
39331,2019-02-06 20:59:40+00:00,24
39336,2019-02-06 21:15:22+00:00,27
39372,2019-02-07 01:13:22+00:00,29
39386,2019-02-07 02:53:53+00:00,28
39366,2019-02-07 00:25:06+00:00,15
39436,2019-02-07 09:18:49+00:00,22
39368,2019-02-07 00:50:53+00:00,11
39513,2019-02-08 11:46:44+00:00,15
39500,2019-02-08 07:45:42+00:00,22
39638,2019-02-12 23:23:36+00:00,17
39637,2019-02-12 22:58:26+00:00,24
39633,2019-02-12 22:39:58+00:00,7
39641,2019-02-12 23:54:21+00:00,19
39636,2019-02-12 22:51:50+00:00,32
39640,2019-02-12 23:36:39+00:00,29
39630,2019-02-12 22:20:22+00:00,23
39635,2019-02-12 22:53:03+00:00,7
39632,2019-02-12 22:34:29+00:00,8
39631,2019-02-12 22:27:00+00:00,6
39629,2019-02-12 22:12:49+00:00,11
39634,2019-02-12 22:42:20+00:00,28
39639,2019-02-12 23:32:18+00:00,32
39684,2019-02-13 09:05:03+00:00,23
39676,2019-02-13 08:09:49+00:00,7
39648,2019-02-13 03:19:43+00:00,11
39675,2019-02-13 07:57:41+00:00,18
39657,2019-02-13 04:49:01+00:00,32
39679,2019-02-13 08:28:39+00:00,31
39660,2019-02-13 05:00:26+00:00,24
39661,2019-02-13 05:15:45+00:00,32
39674,2019-02-13 07:53:06+00:00,23
39692,2019-02-13 10:09:35+00:00,7
39663,2019-02-13 06:34:07+00:00,12
39669,2019-02-13 06:54:11+00:00,31
39678,2019-02-13 08:15:05+00:00,31
39659,2019-02-13 04:56:43+00:00,23
39698,2019-02-13 11:12:29+00:00,31
39658,2019-02-13 04:53:29+00:00,11
39649,2019-02-13 03:43:27+00:00,11
39666,2019-02-13 06:40:06+00:00,5
39677,2019-02-13 08:15:03+00:00,24
39652,2019-02-13 04:08:05+00:00,24
39653,2019-02-13 04:12:44+00:00,29
39703,2019-02-13 12:53:24+00:00,18
39651,2019-02-13 03:58:56+00:00,29
39691,2019-02-13 10:06:38+00:00,25
39656,2019-02-13 04:39:24+00:00,21
39665,2019-02-13 06:37:50+00:00,22
39680,2019-02-13 08:39:36+00:00,23
39828,2019-02-17 21:59:43+00:00,31
39836,2019-02-17 22:37:02+00:00,27
39818,2019-02-17 21:21:55+00:00,19
39831,2019-02-17 22:16:43+00:00,19
39817,2019-02-17 21:14:22+00:00,8
39825,2019-02-17 21:48:19+00:00,7
39829,2019-02-17 22:04:02+00:00,15
39819,2019-02-17 21:27:09+00:00,25
39835,2019-02-17 22:34:17+00:00,27
39820,2019-02-17 21:30:22+00:00,25
39840,2019-02-17 23:09:08+00:00,7
39830,2019-02-17 22:12:16+00:00,19
39842,2019-02-17 23:27:04+00:00,18
39832,2019-02-17 22:19:32+00:00,19
39826,2019-02-17 21:50:46+00:00,24
39839,2019-02-17 23:04:27+00:00,16
39838,2019-02-17 22:50:48+00:00,24
39821,2019-02-17 21:33:11+00:00,25
39827,2019-02-17 21:55:41+00:00,32
39824,2019-02-17 21:45:59+00:00,24
39823,2019-02-17 21:42:52+00:00,12
39845,2019-02-18 02:20:55+00:00,12
39865,2019-02-18 21:12:33+00:00,24
39962,2019-02-22 21:20:24+00:00,13
40041,2019-02-25 17:21:42+00:00,21
40068,2019-02-25 19:35:39+00:00,10
40067,2019-02-25 19:32:52+00:00,10
40062,2019-02-25 19:12:41+00:00,12
40138,2019-02-26 19:41:03+00:00,11
40140,2019-02-26 20:03:11+00:00,32
40139,2019-02-26 19:45:05+00:00,10
40133,2019-02-26 19:19:56+00:00,11
40134,2019-02-26 19:23:47+00:00,32
40132,2019-02-26 19:18:10+00:00,28
40142,2019-02-26 20:28:15+00:00,10
40136,2019-02-26 19:27:56+00:00,22
40137,2019-02-26 19:28:50+00:00,22
40135,2019-02-26 19:25:56+00:00,22
40196,2019-02-28 23:26:00+00:00,7
40190,2019-02-28 22:23:40+00:00,21
40194,2019-02-28 22:54:14+00:00,24
40192,2019-02-28 22:38:45+00:00,7
40189,2019-02-28 22:08:04+00:00,21
40193,2019-02-28 22:42:22+00:00,7
40195,2019-02-28 23:23:10+00:00,7
40191,2019-02-28 22:33:07+00:00,7
39278,2019-02-05 09:56:58+00:00,24
39378,2019-02-07 01:54:58+00:00,11
39389,2019-02-07 03:34:28+00:00,29
39381,2019-02-07 02:25:46+00:00,11
39455,2019-02-07 13:03:10+00:00,11
